cut,color,clarity,city,carat,depth,table,x,y,z,price
3,1,5,1,0.36,61.3,60.0,4.59,4.54,2.8,1013
2,4,6,1,0.38,62.3,53.3,4.63,4.66,2.9,894
4,3,2,0,1.0,61.0,56.7,6.44,6.47,3.94,5522
3,4,4,7,0.33,61.5,58.0,4.46,4.39,2.72,743
2,0,5,11,0.32,62.0,55.0,4.42,4.38,2.73,972
2,0,2,11,0.35,61.6,56.0,4.49,4.53,2.78,644
2,1,2,7,0.52,61.1,57.0,5.2,5.17,3.16,1656
2,5,4,1,0.54,61.9,54.0,5.24,5.29,3.26,1216
3,5,1,5,0.3,60.5,59.0,4.32,4.34,2.62,631
3,4,3,10,1.67,62.6,60.0,7.57,7.52,4.72,8118
2,3,4,8,0.52,61.8,55.0,5.17,5.21,3.21,1689
1,6,3,11,0.31,63.3,58.0,4.34,4.35,2.75,335
4,0,3,1,0.91,62.7,59.0,6.16,6.22,3.88,3298
2,5,1,3,0.41,62.6,57.0,4.74,4.78,2.98,1007
3,3,2,3,0.4,61.4,60.0,4.71,4.67,2.88,900
2,0,2,6,0.43,61.5,56.0,4.82,4.87,2.98,830
3,2,3,0,1.24,62.8,60.0,6.84,6.82,4.29,5583
2,1,7,11,0.46,62.6,55.0,4.92,4.95,3.09,1657
3,4,6,11,0.34,61.2,60.0,4.46,4.5,2.74,775
2,3,5,9,1.01,61.7,57.0,6.48,6.45,3.99,6104
2,0,6,10,0.85,62.0,56.0,6.05,6.11,3.77,7230
4,1,6,9,0.27,62.4,55.0,4.18,4.22,2.62,591
2,1,3,2,0.34,61.4,55.0,4.5,4.52,2.77,454
4,5,2,7,1.5,60.2,63.0,7.38,7.33,4.43,7140
4,1,5,1,0.71,62.7,59.0,5.65,5.7,3.56,2830
2,1,5,5,0.52,62.1,56.0,5.2,5.17,3.22,1694
3,4,4,1,0.31,61.4,61.0,4.36,4.33,2.67,698
2,6,2,1,0.55,61.2,55.0,5.29,5.3,3.24,982
2,4,7,10,0.4,62.2,56.0,4.7,4.75,2.94,877
4,5,4,8,0.43,60.9,55.0,4.89,4.99,3.01,730
2,5,6,3,0.59,62.2,55.0,5.38,5.39,3.35,1838
4,1,2,11,0.79,63.2,56.0,5.91,5.83,3.71,3053
0,3,0,7,1.01,64.5,56.0,6.32,6.26,4.06,2287
2,1,6,2,0.3,59.5,60.0,4.36,4.38,2.6,826
3,2,5,10,0.71,62.6,58.0,5.7,5.67,3.56,2803
0,3,5,7,2.01,67.5,55.0,7.7,7.79,5.23,17917
2,6,4,4,1.29,62.0,57.0,6.92,6.98,4.31,5676
2,4,7,2,0.42,62.0,57.0,4.79,4.82,2.98,823
2,2,4,9,0.41,62.1,56.0,4.77,4.8,2.97,1007
4,3,5,6,0.7,61.3,57.0,5.66,5.7,3.48,2433
4,3,7,4,0.3,62.9,55.0,4.28,4.31,2.7,638
2,2,5,0,1.0,62.8,57.0,6.35,6.3,3.97,6209
4,0,5,3,0.73,63.5,58.0,5.68,5.72,3.62,3182
4,4,3,10,1.27,63.1,57.0,6.88,6.84,4.33,4978
2,1,5,6,0.32,62.0,57.0,4.37,4.41,2.72,702
3,2,2,10,0.34,59.3,60.0,4.52,4.58,2.7,566
2,1,7,11,0.34,62.3,57.0,4.44,4.48,2.78,835
4,5,3,11,1.75,61.2,57.0,7.71,7.76,4.73,10098
3,0,2,3,0.56,61.4,58.0,5.29,5.33,3.26,1723
3,5,2,0,1.35,62.1,58.0,7.07,7.0,4.37,6340
1,4,5,8,1.51,63.8,56.0,7.24,7.17,4.6,7949
3,0,0,0,1.16,61.8,59.0,6.74,6.78,4.18,3644
3,6,2,10,1.54,61.1,58.0,7.48,7.41,4.55,5028
2,2,6,6,0.3,62.4,56.0,4.28,4.31,2.68,868
3,2,2,3,1.0,61.8,58.0,6.44,6.37,3.96,5151
2,0,5,11,0.5,62.3,55.0,5.11,5.07,3.17,1845
4,6,7,12,1.51,62.6,63.0,7.24,7.29,4.55,8550
1,4,6,2,0.43,60.0,61.0,4.91,4.93,2.95,1000
4,3,5,3,0.83,62.7,58.0,5.97,6.03,3.76,3195
4,2,4,1,1.2,61.6,61.0,6.81,6.86,4.21,9203
4,5,5,3,0.9,58.4,62.0,6.29,6.35,3.69,3334
3,3,4,6,1.23,59.6,60.0,6.94,6.99,4.15,8145
4,2,2,0,0.7,62.3,57.0,5.62,5.65,3.51,2267
2,2,5,9,1.7,61.3,54.0,7.72,7.67,4.72,17662
3,3,3,3,1.11,61.5,58.0,6.6,6.67,4.08,4670
2,1,7,3,0.41,62.3,56.0,4.78,4.75,2.97,1243
2,1,3,10,0.5,61.1,58.0,5.09,5.13,3.12,1185
3,2,5,3,1.52,62.2,58.0,7.38,7.29,4.56,12985
2,3,5,1,0.53,60.1,54.0,5.31,5.3,3.19,1607
3,0,3,10,1.52,60.2,60.0,7.46,7.4,4.47,8897
2,0,2,7,0.53,62.0,55.0,5.22,5.24,3.24,1631
2,4,4,11,0.32,62.7,56.0,4.42,4.39,2.76,672
2,4,4,10,1.34,61.6,57.0,7.14,7.07,4.38,8780
1,1,2,9,0.5,64.0,56.0,5.03,4.97,3.2,1090
4,6,2,1,0.32,63.0,58.0,4.32,4.35,2.73,374
1,2,6,1,0.32,63.8,54.0,4.38,4.31,2.77,939
2,0,7,5,0.31,61.9,56.0,4.37,4.39,2.71,766
2,2,4,1,0.58,60.4,57.0,5.42,5.37,3.26,2245
2,4,4,1,0.3,61.6,57.0,4.3,4.33,2.66,526
4,2,4,11,1.21,62.3,58.0,6.76,6.85,4.24,10009
3,6,3,2,1.44,58.2,58.0,7.39,7.35,4.29,4064
3,1,5,6,1.03,62.9,61.0,6.42,6.36,4.02,6922
3,3,2,2,1.53,62.3,58.0,7.35,7.3,4.56,11421
2,2,4,12,0.65,62.2,57.0,5.6,5.53,3.46,2340
2,0,3,9,1.58,62.5,55.0,7.39,7.45,4.64,11428
1,1,2,8,0.31,63.4,55.0,4.32,4.33,2.74,544
2,1,7,12,1.01,61.7,57.0,6.42,6.44,3.97,11400
2,1,6,3,0.3,62.5,54.0,4.32,4.29,2.69,979
2,5,2,7,1.7,62.4,56.0,7.68,7.64,4.78,11228
2,2,4,1,1.24,61.5,54.0,6.93,6.89,4.25,10138
4,4,3,3,1.32,63.0,59.0,6.91,6.99,4.38,6085
1,3,3,6,0.41,63.7,55.0,4.75,4.7,3.01,732
2,0,4,10,0.38,62.0,57.0,4.7,4.69,2.91,942
1,3,2,10,0.7,64.0,55.0,5.59,5.62,3.59,1915
2,0,2,1,0.36,62.0,56.0,4.61,4.55,2.84,851
2,1,5,10,0.73,62.7,56.0,5.75,5.8,3.62,3077
2,3,5,10,0.9,61.7,56.0,6.19,6.26,3.84,4773
4,3,7,4,1.08,63.1,56.0,6.58,6.51,4.13,7862
2,1,5,3,0.52,60.5,56.0,5.27,5.21,3.17,1897
2,1,3,6,0.34,61.3,55.0,4.49,4.52,2.76,454
4,5,5,1,1.71,62.8,59.0,7.52,7.58,4.74,11850
4,4,2,7,1.0,63.6,54.0,6.33,6.37,4.04,4467
2,3,7,12,0.59,62.2,56.0,5.37,5.4,3.35,1966
2,0,2,9,0.8,62.7,57.0,5.88,5.92,3.7,3564
4,5,6,7,0.65,61.8,56.0,5.53,5.57,3.43,1801
2,5,5,12,1.06,60.3,57.0,6.61,6.66,4.01,5516
1,3,4,0,1.7,63.5,56.0,7.53,7.64,4.82,14445
3,3,3,7,2.05,58.7,60.0,8.4,8.32,4.91,17988
2,2,2,3,0.58,62.2,57.0,5.37,5.33,3.33,1705
2,3,5,10,0.59,61.7,55.0,5.38,5.41,3.33,2159
4,2,3,5,1.01,62.2,58.0,6.36,6.4,3.97,4121
2,2,5,11,0.33,61.2,54.0,4.47,4.49,2.74,666
2,2,6,8,0.32,61.8,55.0,4.41,4.36,2.71,990
2,5,2,8,0.9,61.6,55.0,6.2,6.22,3.82,3908
2,1,3,1,1.71,61.9,57.0,7.69,7.65,4.75,11816
2,0,7,5,0.34,60.1,57.0,4.54,4.58,2.74,918
3,4,1,10,0.5,60.3,58.0,5.14,5.18,3.11,1846
4,3,5,4,0.53,60.1,59.0,5.22,5.26,3.15,1449
2,1,6,5,0.33,61.9,57.0,4.46,4.43,2.75,1374
2,4,4,3,0.33,61.5,56.0,4.47,4.44,2.74,743
3,0,4,4,1.0,62.2,55.0,6.46,6.4,4.0,8333
4,3,2,7,0.74,61.6,58.0,5.78,5.81,3.57,2690
2,1,3,12,1.01,61.2,54.0,6.52,6.49,3.98,4751
4,1,3,10,0.5,63.0,57.0,5.01,5.05,3.17,1098
1,2,2,5,0.41,64.4,56.0,4.69,4.72,3.03,659
4,0,4,6,0.3,62.0,55.0,4.31,4.35,2.68,863
2,0,4,8,0.35,61.2,56.0,4.54,4.58,2.79,1035
0,4,2,6,2.0,61.2,50.0,8.17,8.08,4.97,13764
3,2,2,8,1.0,62.5,59.0,6.39,6.34,3.98,5152
2,4,5,3,1.72,61.9,56.0,7.7,7.75,4.78,15197
4,6,2,5,0.5,63.3,60.0,4.99,4.97,3.15,963
2,1,2,2,1.58,61.4,55.0,7.53,7.5,4.61,11294
2,1,5,5,0.52,62.2,56.0,5.15,5.11,3.19,1815
2,4,4,0,0.51,61.8,57.0,5.11,5.14,3.16,1573
2,3,3,3,0.78,61.5,56.0,5.94,5.97,3.66,2706
2,3,5,7,0.41,62.4,55.0,4.73,4.76,2.96,827
2,3,5,0,0.3,62.3,58.0,4.26,4.28,2.66,545
3,1,3,10,1.01,59.6,61.0,6.59,6.56,3.92,4434
3,3,5,1,0.32,60.5,58.0,4.41,4.42,2.67,561
3,2,3,4,1.01,62.2,59.0,6.45,6.41,4.0,4497
2,4,7,6,0.54,61.1,56.0,5.23,5.28,3.21,1696
2,6,3,10,0.39,62.6,54.0,4.64,4.69,2.92,451
3,3,7,3,0.4,61.3,59.0,4.78,4.74,2.92,980
3,0,5,3,0.57,61.9,58.0,5.35,5.32,3.3,2047
4,1,4,3,0.38,58.1,59.0,4.78,4.82,2.79,1083
4,5,2,2,0.9,62.3,56.0,6.12,6.18,3.83,3308
2,0,7,3,1.24,61.5,57.0,6.88,6.94,4.25,14737
4,5,2,5,1.21,61.2,62.0,6.81,6.84,4.18,5190
2,0,2,6,0.52,62.4,57.0,5.14,5.18,3.22,1600
3,2,5,7,0.71,62.1,58.0,5.7,5.67,3.53,2801
3,0,2,7,0.5,63.0,60.0,5.06,5.03,3.18,1588
3,3,4,1,0.5,61.1,60.0,5.1,5.05,3.1,1629
4,6,4,4,1.53,62.8,59.0,7.31,7.34,4.6,8058
2,0,5,5,0.3,62.2,55.0,4.33,4.29,2.68,911
3,6,5,10,1.71,60.3,61.0,7.74,7.69,4.65,8887
2,2,3,0,1.51,62.6,55.0,7.39,7.35,4.61,9471
4,2,7,9,0.7,58.7,63.0,5.82,5.79,3.41,3234
2,2,2,1,0.77,61.7,56.0,5.85,5.91,3.63,3702
1,2,4,3,0.61,60.0,65.0,5.53,5.47,3.3,2196
2,4,2,0,1.59,61.4,55.0,7.56,7.51,4.63,10284
3,5,5,8,2.14,62.3,58.0,8.22,8.16,5.1,17416
3,4,2,7,0.41,60.5,58.0,4.81,4.85,2.92,683
3,2,5,11,0.3,60.4,58.0,4.33,4.31,2.61,776
2,1,5,6,0.38,60.1,56.0,4.72,4.69,2.83,1112
2,0,2,11,0.33,60.9,56.0,4.46,4.5,2.73,736
4,2,6,9,0.28,61.5,56.0,4.24,4.27,2.61,707
4,0,4,3,0.61,60.9,56.0,5.49,5.51,3.35,2481
3,5,2,3,0.35,62.5,58.0,4.53,4.49,2.82,606
2,2,3,0,0.54,61.2,56.0,5.27,5.28,3.23,1162
3,2,3,11,1.01,62.6,60.0,6.35,6.37,3.98,4416
4,2,3,4,1.0,59.9,61.0,6.42,6.46,3.86,4255
4,2,7,3,0.3,62.4,58.0,4.25,4.28,2.66,737
4,1,2,0,0.51,59.4,57.0,5.2,5.24,3.1,1284
4,6,5,10,0.7,58.2,60.0,5.86,5.9,3.42,1896
4,0,5,4,0.3,62.8,57.0,4.25,4.29,2.68,710
3,4,3,12,1.62,63.0,58.0,7.47,7.41,4.69,6350
2,1,2,10,1.03,62.0,53.0,6.47,6.5,4.02,5608
2,0,4,0,0.41,61.2,57.0,4.77,4.81,2.93,1018
4,5,2,1,1.01,62.1,58.0,6.38,6.44,3.98,3888
0,4,3,10,0.74,62.0,53.0,5.85,5.74,3.6,1962
2,4,1,4,0.3,62.0,57.0,4.26,4.29,2.65,764
0,4,2,2,0.7,65.0,59.0,5.54,5.5,3.59,1803
3,1,2,0,1.73,62.6,58.0,7.67,7.59,4.78,16253
3,4,3,3,1.28,60.2,60.0,6.97,6.93,4.31,5376
2,3,5,0,1.09,60.9,57.0,6.69,6.72,4.08,6617
2,2,6,10,0.37,61.3,56.0,4.65,4.68,2.86,997
3,5,3,9,1.36,62.7,58.0,7.01,7.08,4.42,5856
4,2,6,10,0.32,61.9,59.0,4.34,4.39,2.7,926
4,3,5,10,0.76,59.8,58.0,5.92,5.96,3.55,2726
2,2,2,10,0.57,61.9,56.0,5.33,5.37,3.31,1759
2,3,1,5,0.32,60.5,57.0,4.44,4.42,2.68,1020
3,1,5,9,0.36,62.5,58.0,4.57,4.52,2.84,878
2,3,5,3,1.14,61.5,57.0,6.72,6.68,4.12,7171
2,5,4,1,1.7,62.2,55.0,7.67,7.63,4.76,12737
4,6,5,5,0.7,63.2,61.0,5.62,5.59,3.54,1940
0,0,5,3,0.5,66.9,57.0,4.95,4.83,3.27,1431
2,1,5,2,0.3,62.1,55.0,4.35,4.32,2.69,844
2,5,6,1,0.3,62.4,56.0,4.3,4.32,2.69,552
3,1,2,3,0.53,61.8,60.0,5.21,5.18,3.21,2099
2,3,5,3,0.31,61.8,57.0,4.34,4.36,2.69,544
1,1,3,1,1.01,63.9,55.0,6.38,6.33,4.08,4440
4,2,2,3,0.3,63.5,57.0,4.27,4.24,2.7,641
2,0,2,8,0.56,61.9,57.0,5.27,5.3,3.27,2053
2,1,5,2,0.59,61.5,56.0,5.38,5.42,3.32,1789
2,1,7,5,0.31,61.4,56.0,4.36,4.4,2.69,766
2,4,3,10,1.11,62.0,54.0,6.61,6.64,4.11,4578
2,1,5,6,1.62,61.4,57.0,7.58,7.54,4.64,16507
4,0,2,6,1.23,59.7,58.0,6.96,7.02,4.17,7799
2,6,6,4,0.41,61.2,57.0,4.79,4.82,2.94,775
4,1,4,3,0.78,61.5,60.0,5.86,5.92,3.62,3898
3,5,5,3,0.32,62.6,58.0,4.42,4.37,2.75,576
4,3,2,6,0.71,61.6,61.0,5.7,5.72,3.52,2515
2,3,5,1,1.01,61.6,57.0,6.41,6.44,3.96,6159
2,1,2,6,0.59,61.4,56.0,5.39,5.36,3.3,1789
2,1,7,6,0.31,61.4,57.0,4.37,4.39,2.69,791
3,5,3,3,2.02,61.7,58.0,8.07,8.0,4.96,14350
1,4,3,5,0.33,63.5,57.0,4.36,4.39,2.78,416
3,2,5,1,0.32,59.7,59.0,4.41,4.44,2.64,645
1,3,3,8,1.5,57.9,61.0,7.52,7.48,4.35,6006
2,2,7,8,0.53,62.2,54.0,5.19,5.22,3.24,2175
2,3,1,10,0.64,61.7,58.0,5.52,5.56,3.42,2960
2,2,1,7,0.31,60.7,56.0,4.42,4.45,2.69,901
2,4,7,8,0.32,61.5,55.0,4.41,4.44,2.72,628
2,6,2,10,1.19,62.0,56.0,6.8,6.77,4.21,4678
4,6,4,4,0.41,61.8,56.0,4.75,4.79,2.95,693
2,3,2,10,0.92,62.6,56.0,6.21,6.19,3.88,4173
2,3,7,2,1.07,62.8,54.0,6.51,6.55,4.1,8212
2,4,1,1,0.53,62.0,54.0,5.22,5.27,3.25,1949
4,1,3,9,1.01,60.4,60.0,6.48,6.57,3.94,4352
3,6,5,10,2.0,62.9,60.0,7.99,7.95,5.01,11966
2,2,6,7,0.72,60.8,56.0,5.81,5.83,3.54,5006
3,1,0,8,1.22,60.9,57.0,6.93,6.88,4.21,2862
2,2,2,0,1.06,62.1,57.0,6.51,6.53,4.05,5655
2,3,4,3,1.12,61.5,56.0,6.7,6.73,4.13,8202
2,2,5,12,0.61,61.5,54.0,5.48,5.51,3.38,2306
3,3,5,3,0.41,61.4,59.0,4.79,4.75,2.93,1061
3,2,3,12,0.87,61.6,58.0,6.14,6.1,3.77,2999
4,2,4,3,0.23,60.9,57.0,3.96,3.99,2.42,357
4,3,4,3,0.31,61.9,54.0,4.36,4.4,2.71,640
1,3,3,10,0.41,63.7,55.0,4.7,4.75,3.01,570
3,4,2,2,1.7,61.8,61.0,7.59,7.52,4.67,11848
3,1,5,0,0.39,62.5,60.0,4.67,4.64,2.91,951
2,3,1,5,0.46,61.7,56.0,4.97,5.01,3.08,1987
3,3,4,10,0.41,61.5,58.0,4.8,4.76,2.94,961
4,4,5,7,1.2,63.3,57.0,6.78,6.68,4.26,6000
2,5,5,3,1.14,62.9,56.0,6.71,6.67,4.21,5075
3,1,7,3,0.25,62.5,59.0,4.05,4.02,2.52,740
4,1,7,12,0.57,60.0,61.0,5.36,5.44,3.24,2485
2,2,1,10,0.31,61.9,54.0,4.38,4.41,2.72,901
4,2,5,8,0.7,61.7,63.0,5.64,5.61,3.47,2762
2,2,2,5,0.79,62.5,57.0,5.88,5.92,3.69,2976
2,1,2,11,0.8,61.0,57.0,6.0,6.03,3.67,3890
4,6,2,7,2.02,63.5,60.0,7.98,7.93,5.05,12915
1,2,2,3,0.7,63.1,64.0,5.58,5.61,3.53,2058
4,3,7,8,0.72,62.5,58.0,5.68,5.72,3.56,2889
3,3,7,4,0.3,60.6,58.0,4.36,4.35,2.64,878
3,2,5,1,0.7,62.6,61.0,5.66,5.61,3.53,2717
2,3,2,3,0.73,61.7,57.0,5.78,5.81,3.57,3089
3,5,3,5,1.71,60.6,57.0,7.78,7.71,4.69,9760
2,0,5,0,0.31,61.9,56.0,4.38,4.37,2.71,942
2,1,4,8,0.34,62.1,56.0,4.48,4.5,2.79,805
4,2,3,4,1.01,63.4,56.0,6.4,6.34,4.04,4355
2,5,3,8,1.17,62.2,56.0,6.72,6.79,4.2,4488
4,0,3,5,0.84,63.6,57.0,5.95,6.0,3.8,3145
3,1,5,10,0.42,61.0,59.0,4.85,4.82,2.95,1024
2,4,4,8,0.9,61.9,56.0,6.17,6.23,3.84,4689
4,1,6,4,0.26,61.4,58.0,4.12,4.15,2.54,597
2,5,5,3,0.32,63.0,57.0,4.37,4.33,2.74,576
4,5,2,6,0.79,61.8,60.0,5.92,5.96,3.67,2296
2,5,4,12,0.82,61.4,57.0,5.98,6.03,3.69,2557
2,1,2,3,0.35,60.9,55.0,4.57,4.53,2.77,788
3,3,7,3,0.32,62.6,58.0,4.37,4.35,2.73,936
3,4,5,11,1.19,61.1,58.0,6.83,6.78,4.16,6944
4,0,5,6,0.34,60.0,59.0,4.5,4.56,2.72,730
3,0,5,3,0.31,61.7,59.0,4.31,4.34,2.67,734
3,2,2,10,0.54,62.3,58.0,5.26,5.2,3.26,1693
2,2,7,0,0.3,61.5,55.0,4.33,4.35,2.67,694
4,2,7,12,0.24,62.1,58.0,3.96,4.03,2.48,478
4,4,7,0,0.23,62.0,55.0,3.93,3.95,2.44,378
3,1,0,5,1.05,62.2,61.0,6.51,6.48,4.04,3293
1,1,4,9,0.37,63.3,56.0,4.58,4.61,2.91,818
2,1,5,1,0.62,62.0,54.5,5.46,5.48,3.39,2208
2,4,2,5,1.52,60.1,60.0,7.5,7.42,4.48,9235
2,2,3,9,1.6,61.7,56.0,7.53,7.5,4.64,10662
2,3,4,11,0.32,62.4,56.0,4.37,4.38,2.73,679
2,1,7,9,0.41,62.2,54.0,4.79,4.76,2.97,1243
4,1,3,4,2.51,63.1,56.0,8.65,8.6,5.44,16717
2,3,1,9,0.39,61.7,55.0,4.68,4.72,2.9,1154
2,1,7,10,0.57,62.0,57.0,5.29,5.33,3.29,2447
2,4,5,6,0.31,62.6,57.0,4.31,4.35,2.71,489
1,0,3,1,0.3,63.2,57.0,4.21,4.24,2.67,447
2,5,3,6,1.6,61.9,57.0,7.51,7.48,4.64,8530
2,0,3,5,0.8,61.9,54.0,5.98,5.96,3.7,3682
2,3,4,10,1.07,61.8,57.0,6.58,6.52,4.05,6917
2,2,5,12,1.27,61.0,54.0,7.0,7.02,4.28,10656
2,2,4,5,0.7,61.2,58.0,5.7,5.73,3.5,3154
2,0,2,12,0.77,60.8,57.0,5.9,5.94,3.6,3309
2,2,6,4,1.2,61.1,55.0,6.86,6.89,4.2,13088
2,1,4,10,1.05,62.6,57.0,6.5,6.44,4.05,7762
2,3,5,7,1.2,62.8,57.0,6.78,6.72,4.24,7243
2,4,7,1,0.36,62.3,57.0,4.57,4.52,2.83,932
1,4,4,2,1.0,61.8,61.0,6.4,6.31,3.93,5219
3,0,5,9,0.3,62.0,59.0,4.27,4.22,2.63,911
3,3,3,10,1.07,59.9,59.0,6.67,6.61,3.98,4278
2,3,7,10,0.39,62.0,54.5,4.67,4.7,2.91,952
2,0,2,4,0.79,61.5,56.0,5.96,5.91,3.65,2846
4,3,4,5,0.63,61.5,56.0,5.53,5.49,3.39,1960
3,4,4,10,1.24,62.2,59.0,6.9,6.83,4.27,7222
4,4,6,4,0.32,62.9,57.0,4.33,4.38,2.74,730
2,3,5,7,0.54,61.9,57.0,5.23,5.18,3.22,1637
2,3,2,8,0.54,61.8,58.0,5.21,5.27,3.24,1350
3,3,2,2,1.01,61.5,59.0,6.48,6.43,3.97,5006
3,1,4,6,0.37,60.4,58.0,4.61,4.66,2.8,876
4,2,5,5,0.6,60.8,56.0,5.45,5.48,3.32,2270
1,1,2,6,0.41,59.5,62.0,4.85,4.87,2.89,760
2,5,2,7,1.22,61.7,55.2,6.84,6.9,4.24,6062
3,3,3,1,1.09,60.7,57.0,6.72,6.62,4.06,4047
2,2,5,3,0.3,61.6,57.0,4.28,4.32,2.65,605
4,1,5,12,0.28,62.7,58.0,4.15,4.18,2.61,487
4,4,4,10,0.3,63.0,58.0,4.23,4.28,2.68,526
2,3,6,6,0.53,61.3,56.0,5.22,5.26,3.21,2015
2,3,4,6,0.56,62.2,55.0,5.27,5.31,3.29,1819
3,0,3,11,1.58,59.6,59.0,7.67,7.61,4.55,10934
4,0,3,0,0.41,63.1,54.0,4.75,4.72,2.99,818
3,4,5,10,1.51,62.9,59.0,7.31,7.25,4.58,11268
2,2,5,3,1.19,62.0,57.0,6.76,6.78,4.2,8265
2,5,2,4,1.7,62.9,57.0,7.57,7.5,4.74,9901
3,4,7,3,1.52,62.8,57.0,7.38,7.27,4.6,12232
2,2,5,7,1.2,61.2,53.0,6.88,6.85,4.2,8588
2,1,5,2,0.3,62.3,56.0,4.28,4.32,2.68,658
4,4,6,0,0.3,63.0,56.0,4.24,4.27,2.68,684
2,5,7,5,0.38,62.6,54.0,4.62,4.65,2.9,766
3,3,5,3,0.9,62.8,60.0,6.14,6.08,3.84,4052
2,4,2,12,1.05,62.0,56.0,6.53,6.46,4.03,4223
4,2,7,5,1.14,63.3,56.0,6.56,6.71,4.2,8912
2,4,2,4,1.01,62.6,55.0,6.43,6.39,4.01,4836
3,6,5,5,0.92,60.9,62.0,6.31,6.26,3.83,3091
2,5,5,4,0.32,61.6,56.0,4.37,4.39,2.7,449
4,3,4,9,0.52,62.3,58.0,5.14,5.17,3.21,1629
2,6,2,10,0.73,62.0,55.0,5.75,5.86,3.6,2184
4,3,5,12,1.01,62.9,54.0,6.35,6.4,4.0,6773
4,3,7,3,0.84,60.4,55.0,6.07,6.12,3.68,4259
2,1,3,11,1.02,63.0,57.0,6.44,6.39,4.04,4478
4,2,4,11,0.23,63.2,58.0,3.89,3.86,2.45,483
2,3,2,0,0.75,62.2,57.0,5.8,5.84,3.62,2456
2,2,5,11,0.41,62.1,56.0,4.74,4.79,2.96,863
4,6,5,1,0.7,63.3,58.0,5.61,5.63,3.56,2044
3,2,5,9,0.55,59.7,58.0,5.37,5.31,3.19,1698
4,3,5,12,0.51,62.9,58.0,5.05,5.12,3.2,1438
2,1,2,3,0.72,61.0,56.0,5.84,5.79,3.55,2951
4,1,7,4,0.52,61.2,58.0,5.17,5.19,3.17,2254
3,6,3,9,1.01,58.3,62.0,6.49,6.43,3.77,2683
4,4,5,12,1.0,60.7,60.0,6.55,6.49,3.96,4978
3,1,5,9,1.01,60.8,58.0,6.43,6.4,3.9,4706
2,2,5,0,1.14,61.4,56.0,6.73,6.78,4.14,8017
3,0,2,2,0.61,62.3,58.0,5.45,5.4,3.38,1976
3,1,5,8,0.72,62.4,59.0,5.77,5.7,3.58,2822
2,1,5,12,0.53,60.7,57.0,5.27,5.3,3.2,1743
2,1,5,1,0.39,60.8,57.0,4.73,4.75,2.88,875
2,4,3,6,0.33,61.4,55.0,4.47,4.49,2.75,433
4,2,5,9,0.9,64.2,59.0,6.07,6.11,3.91,4268
4,0,4,11,0.71,62.0,61.0,5.71,5.74,3.55,3420
3,3,5,2,0.34,61.6,60.0,4.47,4.49,2.76,596
2,5,2,7,0.54,62.4,55.0,5.19,5.23,3.25,1170
4,4,4,7,0.74,61.4,56.0,5.81,5.84,3.57,2956
2,4,5,3,1.07,61.8,56.0,6.52,6.55,4.04,5108
2,5,2,12,2.17,60.7,57.0,8.38,8.42,5.1,17747
2,1,6,8,0.31,61.5,56.0,4.34,4.37,2.68,1105
2,4,1,3,0.43,61.9,55.0,4.87,4.89,3.02,1151
2,3,4,8,0.31,62.7,57.0,4.31,4.34,2.71,542
3,4,2,1,2.53,62.1,59.0,8.83,8.73,5.45,18254
4,1,4,3,1.01,60.9,55.0,6.48,6.58,3.98,7094
2,6,2,11,0.7,62.1,54.0,5.72,5.74,3.56,1815
4,0,3,4,1.03,62.8,56.0,6.43,6.46,4.05,4679
2,3,2,0,0.34,61.2,57.0,4.56,4.53,2.78,650
2,1,5,2,0.31,61.8,56.0,4.35,4.37,2.69,622
3,3,2,4,0.41,62.5,57.0,4.72,4.69,2.94,923
2,0,5,7,0.32,62.2,55.0,4.41,4.37,2.73,972
2,1,5,5,0.5,61.5,55.0,5.11,5.16,3.16,1554
3,6,5,6,0.58,59.5,62.0,5.44,5.41,3.23,1233
2,1,6,8,0.38,62.3,56.0,4.64,4.67,2.9,1154
1,1,2,7,0.33,63.1,56.0,4.42,4.45,2.8,540
4,1,5,10,0.7,62.9,57.0,5.66,5.69,3.57,2793
2,1,5,3,0.32,62.3,54.0,4.4,4.37,2.73,900
1,4,2,1,0.9,63.8,56.0,6.07,6.02,3.86,2732
4,3,3,10,0.32,62.4,59.0,4.35,4.4,2.73,421
2,1,3,2,1.01,62.4,56.0,6.43,6.39,4.0,4808
1,5,2,2,1.51,62.5,57.0,7.25,7.32,4.55,8242
2,2,2,8,0.83,62.0,55.0,6.03,6.07,3.75,3774
2,4,4,0,0.61,60.8,56.0,5.51,5.47,3.34,2053
4,3,3,11,2.52,63.2,58.0,8.65,8.61,5.45,17689
2,1,2,7,0.72,60.8,55.0,5.77,5.84,3.53,2869
2,3,5,7,1.51,61.8,54.0,7.42,7.38,4.57,14482
2,3,4,5,1.04,61.5,55.0,6.54,6.55,4.02,6831
1,3,2,7,0.6,65.3,56.0,5.21,5.26,3.42,1350
4,3,7,4,0.8,62.5,56.0,5.95,5.98,3.73,4002
2,1,7,10,0.44,61.9,56.0,4.88,4.91,3.03,1274
2,0,5,10,0.56,61.1,56.0,5.3,5.33,3.25,1963
4,4,5,1,1.51,62.8,58.0,7.21,7.28,4.55,10225
4,0,5,4,0.59,63.2,57.0,5.28,5.32,3.35,1948
4,5,4,11,0.33,63.2,57.0,4.4,4.37,2.77,668
3,2,3,1,1.0,58.2,59.0,6.51,6.49,3.78,4480
